document_description,section_name,query
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定作業が全て完了したら、何をすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,使い終わったチェンジキーはどこに戻せばいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,カバーを元に戻す方法を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,手順5が完了するまで扉を閉めてはいけないのはなぜですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,作業の途中で間違って扉を閉めてしまいました。どうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定した開錠番号を忘れてしまった場合、どうなりますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,故障の原因となるような、やってはいけない操作はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号を変更する際の注意点をまとめて教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,封印シールを剥がした後、元に戻す必要はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ドライバーはどの工程で必要になりますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,プッシュボタンを押してツマミが出てきた後、何をしますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,「ガチャッ」という音は何の音ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミを反転させ終わった後の確認作業について教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号として設定するツマミの向きを教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号として設定しないツマミの向きを教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,説明書に例として挙げられている設定番号は何番ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新しく設定した番号を記録しておく用紙はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新しい番号で鍵が開くかどうかの確認方法を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,「C」ボタンを押してクリア状態にするとはどういう意味ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,レバーを押しても裏のツマミが全部沈みません。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ラッチが引っ込まない時の対処法を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,チェンジキーをカバーのねじ穴に向かってスライドさせるとはどういうことですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,「これで設定作業は完了です」とありますが、最後のステップは何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,可変プッシュボタン錠のパスワード変更方法。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,鍵の暗証番号を変えるための手順書はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号を再設定したいです。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,錠前の裏蓋の外し方を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号設定用のツマミとは何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミを右向きにするのは、リセット時にどの番号ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミを左向きにするのは、リセット時にどの番号ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミを回すための白い部品（チェンジキー）の使い方は？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,プッシュボタンが固くて奥まで押し込めません。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定後、ツマミがしっかり沈み込んでいるか確認するにはどうすればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新しい暗証番号の桁数に制限はありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号を押す順序は設定に関係ないですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定が完了する前に扉を閉めると、本当に開かなくなりますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定がうまくいかない時のチェックポイントを教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,裏側のツマミの向きが正しいかどうか、どうやって確認しますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定が終わったら、カバーをすぐに閉めても大丈夫ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号変更作業の全ステップを最初から最後まで教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,必要な工具はプラスドライバーですか、マイナスドライバーですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,スライドカバーの裏にある白い部品は何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,開錠番号の「リセット状態」とは具体的にどのような状態ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミの向きを変えるときに何かコツはありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,説明書に「ポイント」として書かれている重要な注意点は何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,扉が開かなくなるのはどのような場合ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,新規で暗証番号を設定する手順を教えてください。
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定後の動作確認は必ず行う必要がありますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号を押した後、レバーを操作するのですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ラッチが動かない原因として何が考えられますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号変更作業の最後のステップは何をしますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,チェンジキーはどこに収納すればいいですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,この取扱説明書はキョーワナスタの製品用ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,暗証番号を変更するのに、だいたいどのくらいの時間がかかりますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号変更で失敗しないための最も重要な注意点は何ですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,ツマミが溝に合っていない状態で扉を閉めるとどうなりますか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,設定した番号は、設定した本人にしか分からないのですか？
プッシュボタン錠の開錠番号変更方法についての取扱説明書。,開錠番号の変更方法,番号変更の途中で作業を中断しても問題ありませんか？
